1,55,2.0,3.0,7.0,0.0,0.0,0.0,0.0,0,0,50,1.0,0.0
1,24,2.0,2.0,2.0,1.0,0.0,3.0,0.0,0,0,50,1.0,0.0
1,63,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2290,0,20,1.0,0.0
1,54,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,49,1.0,0.0
1,41,1.0,0.0,1.0,2.0,1.0,3.0,0.0,0,0,40,0.0,1.0
1,54,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0,0,40,1.0,0.0
1,42,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0,0,60,1.0,0.0
1,33,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0,0,35,0.0,1.0
1,47,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,35,0.0,1.0
1,18,0.0,3.0,6.0,1.0,1.0,5.0,3.0,0,0,25,0.0,1.0
0,44,0.0,4.0,3.0,0.0,2.0,0.0,0.0,0,0,40,1.0,0.0
0,44,1.0,0.0,5.0,2.0,1.0,1.0,0.0,0,0,56,0.0,1.0
1,40,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0,0,60,0.0,1.0
0,53,0.0,4.0,3.0,0.0,2.0,0.0,0.0,0,0,48,1.0,0.0
0,43,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1977,52,1.0,0.0
1,74,2.0,4.0,9.0,2.0,3.0,5.0,0.0,0,0,40,1.0,0.0
0,46,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,43,1.0,0.0
1,49,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0,0,50,0.0,1.0
1,35,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4064,0,40,1.0,0.0
1,35,1.0,4.0,3.0,1.0,3.0,1.0,0.0,0,0,40,0.0,1.0
1,53,1.0,3.0,15.0,1.0,0.0,1.0,0.0,0,0,35,0.0,1.0
1,58,0.0,3.0,7.0,0.0,1.0,4.0,0.0,0,0,8,0.0,1.0
1,22,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0,0,10,1.0,0.0
1,23,0.0,3.0,6.0,1.0,0.0,5.0,0.0,0,0,40,0.0,1.0
1,41,1.0,2.0,2.0,1.0,3.0,1.0,0.0,0,0,40,1.0,0.0
1,72,0.0,4.0,3.0,1.0,3.0,1.0,0.0,2329,0,60,1.0,0.0
1,23,0.0,2.0,2.0,1.0,2.0,1.0,0.0,0,0,23,0.0,1.0
1,20,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,30,0.0,1.0
0,60,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1977,40,1.0,0.0
1,31,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0,0,45,0.0,1.0
1,27,1.0,4.0,9.0,1.0,3.0,1.0,0.0,0,0,70,1.0,0.0
1,24,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0,35,0.0,1.0
1,64,0.0,1.0,0.0,3.0,3.0,1.0,0.0,0,0,23,0.0,1.0
1,31,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0,0,60,1.0,0.0
0,37,2.0,3.0,10.0,0.0,0.0,0.0,0.0,0,0,70,1.0,0.0
1,25,0.0,0.0,1.0,1.0,2.0,5.0,0.0,0,1504,45,0.0,1.0
0,42,2.0,4.0,9.0,0.0,3.0,0.0,0.0,15024,0,65,1.0,0.0
0,46,1.0,2.0,2.0,0.0,3.0,4.0,0.0,0,0,40,0.0,1.0
1,34,0.0,1.0,0.0,1.0,0.0,3.0,0.0,7443,0,35,0.0,1.0
1,54,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,30,1.0,0.0
0,49,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,40,1.0,0.0
1,27,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0,0,30,1.0,0.0
1,24,0.0,0.0,4.0,1.0,1.0,3.0,0.0,0,0,5,1.0,0.0
1,42,1.0,4.0,3.0,1.0,3.0,1.0,0.0,0,0,70,1.0,0.0
1,36,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0,0,40,1.0,0.0
1,38,2.0,2.0,2.0,1.0,0.0,1.0,3.0,0,0,30,1.0,0.0
1,55,0.0,1.0,0.0,2.0,0.0,1.0,0.0,4865,0,45,1.0,0.0
0,50,2.0,2.0,2.0,3.0,1.0,3.0,0.0,0,0,65,1.0,0.0
1,34,1.0,0.0,1.0,1.0,0.0,5.0,0.0,0,0,40,1.0,0.0
0,62,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0,0,50,1.0,0.0
1,47,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0,1590,40,1.0,0.0
1,58,2.0,3.0,10.0,2.0,0.0,1.0,0.0,0,0,40,1.0,0.0
1,36,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0,40,0.0,1.0
0,44,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0,0,40,1.0,0.0
1,48,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0,0,30,0.0,1.0
0,59,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0,0,50,1.0,0.0
1,33,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0,0,40,0.0,1.0
1,34,0.0,4.0,3.0,1.0,3.0,1.0,0.0,4865,0,60,1.0,0.0
0,57,2.0,4.0,9.0,0.0,0.0,0.0,0.0,15024,0,50,1.0,0.0
1,47,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0,0,40,1.0,0.0
1,36,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0,0,40,0.0,1.0
0,43,0.0,2.0,2.0,0.0,2.0,0.0,0.0,15024,0,50,1.0,0.0
1,32,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,99,1.0,0.0
1,41,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0,0,40,0.0,1.0
1,58,2.0,3.0,7.0,0.0,0.0,0.0,0.0,0,0,40,1.0,0.0
0,62,0.0,4.0,9.0,0.0,3.0,0.0,0.0,0,0,30,1.0,0.0
1,27,0.0,3.0,13.0,1.0,0.0,5.0,0.0,0,0,40,1.0,0.0
1,43,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0,0,35,0.0,1.0
0,46,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0,0,40,1.0,0.0
1,44,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0,0,50,1.0,0.0
1,35,0.0,1.0,0.0,2.0,2.0,3.0,0.0,0,0,55,0.0,1.0
1,22,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0,0,45,1.0,0.0
1,52,0.0,3.0,6.0,2.0,0.0,1.0,1.0,0,0,20,0.0,1.0
1,64,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0,0,40,1.0,0.0
1,30,0.0,2.0,2.0,1.0,2.0,1.0,0.0,0,0,55,0.0,1.0
0,42,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5178,0,40,1.0,0.0
1,45,0.0,4.0,3.0,1.0,2.0,1.0,2.0,0,0,40,0.0,1.0
1,63,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,48,1.0,0.0
1,63,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10566,0,45,1.0,0.0
1,61,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,40,1.0,0.0
1,18,0.0,1.0,0.0,1.0,0.0,2.0,3.0,0,0,40,1.0,0.0
0,60,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,70,1.0,0.0
0,40,0.0,4.0,9.0,0.0,3.0,0.0,0.0,15024,0,55,1.0,0.0
1,31,0.0,1.0,0.0,2.0,1.0,3.0,1.0,0,0,50,1.0,0.0
1,51,0.0,3.0,8.0,3.0,1.0,3.0,1.0,0,0,40,0.0,1.0
1,25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1579,40,1.0,0.0
1,34,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0,0,50,1.0,0.0
0,46,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0,0,50,1.0,0.0
1,70,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2653,0,70,1.0,0.0
1,17,0.0,3.0,10.0,1.0,1.0,2.0,1.0,0,0,40,0.0,1.0
1,17,0.0,3.0,6.0,1.0,1.0,5.0,0.0,0,0,12,0.0,1.0
1,33,1.0,4.0,3.0,0.0,3.0,4.0,0.0,0,0,40,0.0,1.0
1,23,0.0,0.0,5.0,1.0,1.0,2.0,0.0,0,0,40,0.0,1.0
1,38,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0,0,55,1.0,0.0
1,36,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0,0,40,1.0,0.0
0,41,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1485,40,1.0,0.0
1,59,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,50,1.0,0.0
1,35,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,60,1.0,0.0
1,26,0.0,2.0,2.0,1.0,3.0,1.0,0.0,0,0,38,1.0,0.0
1,32,0.0,1.0,0.0,2.0,1.0,3.0,0.0,0,0,80,0.0,1.0
1,28,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0,0,40,0.0,1.0
0,27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,50,1.0,0.0
0,58,2.0,1.0,0.0,0.0,1.0,4.0,0.0,15024,0,35,0.0,1.0
1,30,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0,0,40,1.0,0.0
1,24,0.0,2.0,2.0,1.0,2.0,2.0,0.0,0,0,38,1.0,0.0
1,30,0.0,2.0,2.0,1.0,3.0,1.0,0.0,0,0,70,1.0,0.0
1,47,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0,0,26,1.0,0.0
1,27,1.0,5.0,11.0,1.0,3.0,1.0,0.0,0,0,77,1.0,0.0
0,28,2.0,2.0,2.0,1.0,3.0,1.0,1.0,0,0,50,1.0,0.0
1,42,0.0,2.0,2.0,1.0,1.0,3.0,0.0,0,0,40,1.0,0.0
1,22,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0,0,43,1.0,0.0
1,46,0.0,0.0,5.0,2.0,1.0,3.0,0.0,0,0,38,0.0,1.0
0,52,2.0,4.0,9.0,0.0,3.0,0.0,0.0,15024,0,60,1.0,0.0
1,50,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0,0,50,1.0,0.0
1,66,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1258,20,1.0,0.0
1,25,0.0,2.0,2.0,1.0,2.0,1.0,0.0,0,0,30,1.0,0.0
1,24,0.0,3.0,12.0,1.0,0.0,2.0,1.0,0,0,40,1.0,0.0
1,29,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0,38,0.0,1.0
1,45,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0,0,40,0.0,1.0
1,36,0.0,0.0,5.0,1.0,3.0,1.0,0.0,0,1669,45,1.0,0.0
1,22,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0,0,40,1.0,0.0
0,36,2.0,4.0,3.0,1.0,1.0,1.0,0.0,10520,0,45,1.0,0.0
1,26,0.0,2.0,2.0,1.0,2.0,1.0,0.0,6849,0,65,1.0,0.0
1,40,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0,0,45,1.0,0.0
0,50,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,55,1.0,0.0
1,20,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0,0,40,0.0,1.0
1,52,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,40,1.0,0.0
1,40,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0,0,40,1.0,0.0
0,32,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0,0,40,1.0,0.0
1,49,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0,0,80,1.0,0.0
1,56,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0,0,40,0.0,1.0
1,20,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0,0,30,0.0,1.0
1,28,0.0,3.0,7.0,2.0,0.0,1.0,0.0,0,0,40,1.0,0.0
1,22,0.0,3.0,6.0,1.0,1.0,3.0,0.0,0,0,25,0.0,1.0
1,37,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0,0,43,1.0,0.0
1,62,1.0,3.0,8.0,0.0,0.0,0.0,0.0,2829,0,40,1.0,0.0
1,42,0.0,0.0,5.0,3.0,1.0,3.0,0.0,0,0,24,0.0,1.0
1,19,0.0,0.0,1.0,1.0,1.0,5.0,0.0,0,0,20,0.0,1.0
1,46,2.0,1.0,0.0,1.0,0.0,1.0,0.0,3325,0,45,1.0,0.0
1,54,0.0,2.0,2.0,1.0,1.0,2.0,1.0,0,0,36,0.0,1.0
1,36,0.0,2.0,2.0,0.0,1.0,4.0,0.0,0,0,60,1.0,0.0
1,27,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0,0,43,1.0,0.0
1,51,0.0,3.0,7.0,2.0,0.0,3.0,1.0,0,0,40,0.0,1.0
1,39,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0,0,40,1.0,0.0
1,39,1.0,2.0,2.0,0.0,3.0,0.0,0.0,0,0,40,1.0,0.0
1,21,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2176,0,40,1.0,0.0
1,27,0.0,3.0,7.0,1.0,1.0,5.0,0.0,0,1980,40,1.0,0.0
1,23,0.0,2.0,2.0,1.0,2.0,2.0,0.0,0,0,30,1.0,0.0
1,52,0.0,0.0,4.0,2.0,1.0,3.0,0.0,0,0,35,0.0,1.0
0,39,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1887,40,1.0,0.0
0,38,0.0,1.0,0.0,0.0,2.0,5.0,0.0,0,0,40,1.0,0.0
1,27,1.0,0.0,5.0,1.0,3.0,1.0,0.0,0,0,40,0.0,1.0
1,51,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0,0,45,1.0,0.0
0,40,0.0,0.0,5.0,0.0,3.0,0.0,0.0,7688,0,40,1.0,0.0
1,35,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0,0,46,1.0,0.0
1,27,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0,0,20,1.0,0.0
1,17,0.0,3.0,7.0,1.0,0.0,2.0,0.0,0,0,30,1.0,0.0
0,55,2.0,4.0,9.0,3.0,3.0,1.0,0.0,0,0,55,1.0,0.0
0,41,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,40,1.0,0.0
1,72,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,40,1.0,0.0
1,21,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0,0,10,0.0,1.0
1,49,1.0,0.0,1.0,1.0,1.0,3.0,0.0,0,0,30,0.0,1.0
1,39,1.0,2.0,2.0,1.0,2.0,1.0,0.0,0,1741,40,1.0,0.0
0,51,0.0,1.0,0.0,2.0,3.0,3.0,0.0,0,0,40,0.0,1.0
1,44,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0,0,45,0.0,1.0
1,45,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0,0,40,0.0,1.0
0,44,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,45,1.0,0.0
0,47,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,57,1.0,0.0
1,46,0.0,4.0,3.0,2.0,2.0,1.0,0.0,0,0,45,0.0,1.0
1,28,0.0,1.0,0.0,2.0,1.0,2.0,2.0,0,0,40,0.0,1.0
0,49,1.0,2.0,2.0,0.0,3.0,4.0,0.0,7688,0,30,0.0,1.0
0,36,2.0,0.0,5.0,0.0,2.0,0.0,0.0,0,0,40,1.0,0.0
1,75,0.0,3.0,13.0,3.0,1.0,3.0,1.0,0,0,10,1.0,0.0
0,46,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0,0,40,1.0,0.0
1,39,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,70,1.0,0.0
1,25,0.0,0.0,4.0,1.0,0.0,3.0,3.0,0,0,40,1.0,0.0
1,42,1.0,3.0,8.0,1.0,1.0,1.0,0.0,0,0,35,0.0,1.0
0,32,0.0,5.0,11.0,0.0,3.0,0.0,0.0,0,0,65,1.0,0.0
1,26,0.0,0.0,5.0,1.0,3.0,2.0,0.0,0,0,36,0.0,1.0
0,34,1.0,0.0,5.0,0.0,3.0,0.0,0.0,0,0,40,1.0,0.0
0,42,0.0,5.0,11.0,1.0,1.0,1.0,0.0,27828,0,60,1.0,0.0
1,32,0.0,2.0,2.0,1.0,2.0,1.0,2.0,0,0,40,1.0,0.0
1,42,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0,0,45,1.0,0.0
1,46,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0,0,40,1.0,0.0
1,40,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0,0,50,1.0,0.0
1,35,0.0,3.0,6.0,2.0,1.0,3.0,1.0,0,0,40,0.0,1.0
1,45,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,45,1.0,0.0
1,67,0.0,1.0,0.0,3.0,0.0,5.0,1.0,0,0,32,1.0,0.0
1,51,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0,0,40,0.0,1.0
1,37,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,17,1.0,0.0
1,43,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,42,1.0,0.0
1,40,0.0,0.0,5.0,2.0,0.0,3.0,0.0,0,0,40,0.0,1.0
1,41,2.0,0.0,4.0,0.0,1.0,0.0,4.0,0,2179,84,1.0,0.0
0,45,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0,1977,50,1.0,0.0
1,24,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0,0,15,0.0,1.0
1,43,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,40,1.0,0.0
1,52,0.0,3.0,13.0,1.0,0.0,1.0,0.0,0,0,50,1.0,0.0
1,45,0.0,2.0,2.0,0.0,3.0,0.0,2.0,0,0,40,1.0,0.0
0,45,0.0,2.0,2.0,2.0,1.0,1.0,0.0,8614,0,48,1.0,0.0
0,35,0.0,4.0,9.0,0.0,3.0,0.0,0.0,0,0,75,1.0,0.0
1,40,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0,0,45,1.0,0.0
1,23,0.0,0.0,5.0,1.0,1.0,2.0,1.0,0,0,44,1.0,0.0
0,46,1.0,2.0,2.0,2.0,3.0,1.0,0.0,4787,0,25,0.0,1.0
1,48,0.0,1.0,0.0,2.0,2.0,5.0,0.0,0,0,40,0.0,1.0
1,34,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,1672,50,1.0,0.0
0,53,1.0,5.0,11.0,0.0,3.0,0.0,0.0,15024,0,60,1.0,0.0
0,50,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,38,1.0,0.0
1,48,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0,0,40,1.0,0.0
1,56,0.0,0.0,1.0,2.0,1.0,3.0,1.0,0,0,38,0.0,1.0
1,19,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0,0,22,0.0,1.0
1,72,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0,0,16,0.0,1.0
1,34,0.0,1.0,0.0,0.0,0.0,5.0,3.0,0,0,40,1.0,0.0
1,37,0.0,0.0,4.0,0.0,2.0,0.0,0.0,3471,0,40,1.0,0.0
1,35,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0,0,40,1.0,0.0
0,54,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0,0,40,0.0,1.0
1,26,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0,0,40,0.0,1.0
0,43,0.0,4.0,3.0,2.0,2.0,3.0,0.0,0,2547,40,0.0,1.0
1,34,0.0,2.0,2.0,1.0,2.0,1.0,0.0,0,0,45,0.0,1.0
1,28,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0,0,40,0.0,1.0
0,50,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0,1902,45,1.0,0.0
1,35,0.0,2.0,2.0,1.0,2.0,1.0,0.0,0,0,40,0.0,1.0
1,24,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,30,1.0,0.0
1,23,0.0,2.0,2.0,1.0,1.0,2.0,0.0,0,0,25,0.0,1.0
0,32,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0,0,50,1.0,0.0
0,36,1.0,2.0,2.0,0.0,1.0,0.0,0.0,7298,0,55,1.0,0.0
0,44,0.0,2.0,2.0,0.0,2.0,0.0,0.0,7688,0,60,1.0,0.0
0,56,2.0,2.0,2.0,0.0,1.0,0.0,0.0,15024,0,50,1.0,0.0
1,63,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0,0,40,0.0,1.0
1,46,1.0,0.0,1.0,2.0,2.0,3.0,0.0,0,0,40,0.0,1.0
1,26,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2174,0,75,1.0,0.0
0,45,0.0,1.0,0.0,2.0,2.0,1.0,0.0,13550,0,50,1.0,0.0
1,43,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1485,50,1.0,0.0
1,30,0.0,1.0,0.0,1.0,2.0,3.0,0.0,0,2001,42,1.0,0.0
1,37,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0,0,40,0.0,1.0
1,29,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0,0,55,1.0,0.0
0,39,0.0,2.0,2.0,0.0,3.0,4.0,0.0,0,0,36,0.0,1.0
0,50,2.0,4.0,9.0,0.0,3.0,0.0,0.0,0,0,75,1.0,0.0
1,29,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0,0,20,1.0,0.0
1,49,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,60,1.0,0.0
1,28,0.0,3.0,6.0,1.0,1.0,1.0,1.0,0,0,40,0.0,1.0
1,43,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0,0,40,0.0,1.0
1,39,0.0,2.0,2.0,0.0,3.0,0.0,1.0,0,0,30,1.0,0.0
0,58,0.0,4.0,3.0,1.0,2.0,1.0,0.0,0,0,24,0.0,1.0
0,36,2.0,2.0,2.0,1.0,1.0,1.0,0.0,27828,0,55,1.0,0.0
1,24,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0,0,40,1.0,0.0
0,54,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0,0,40,1.0,0.0
1,54,2.0,1.0,0.0,0.0,2.0,0.0,2.0,0,0,50,1.0,0.0
1,55,2.0,1.0,0.0,2.0,2.0,1.0,0.0,34095,0,60,1.0,0.0
1,18,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0,0,18,0.0,1.0
1,47,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0,0,40,0.0,1.0
1,39,1.0,1.0,0.0,2.0,0.0,3.0,0.0,0,0,40,0.0,1.0
1,41,0.0,2.0,2.0,2.0,3.0,1.0,1.0,0,0,40,1.0,0.0
0,25,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0,0,55,1.0,0.0
1,30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,40,1.0,0.0
0,39,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3103,0,44,1.0,0.0
1,42,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,44,1.0,0.0
1,28,0.0,1.0,0.0,2.0,0.0,3.0,1.0,0,0,20,0.0,1.0
1,64,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0,0,35,0.0,1.0
1,42,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0,1340,40,0.0,1.0
1,60,0.0,3.0,10.0,0.0,0.0,0.0,0.0,2228,0,37,1.0,0.0
1,61,0.0,1.0,0.0,0.0,2.0,4.0,0.0,2414,0,5,0.0,1.0
0,59,2.0,4.0,9.0,0.0,3.0,0.0,0.0,0,0,55,1.0,0.0
1,19,0.0,3.0,6.0,1.0,0.0,2.0,0.0,0,0,25,1.0,0.0
1,58,0.0,1.0,0.0,1.0,1.0,5.0,0.0,0,0,25,1.0,0.0
1,37,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0,0,30,1.0,0.0
1,19,1.0,0.0,1.0,1.0,2.0,2.0,0.0,0,0,15,0.0,1.0
1,33,0.0,0.0,5.0,1.0,2.0,1.0,0.0,0,0,40,0.0,1.0
1,52,0.0,1.0,0.0,3.0,2.0,1.0,0.0,0,0,40,0.0,1.0
1,59,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,40,1.0,0.0
1,33,0.0,1.0,0.0,1.0,2.0,3.0,1.0,0,0,40,0.0,1.0
0,42,0.0,4.0,3.0,0.0,2.0,0.0,0.0,0,0,60,1.0,0.0
1,50,0.0,0.0,1.0,2.0,2.0,3.0,1.0,0,0,40,0.0,1.0
1,63,1.0,4.0,3.0,0.0,3.0,0.0,0.0,0,0,48,1.0,0.0
1,39,0.0,0.0,1.0,1.0,2.0,3.0,3.0,0,0,40,0.0,1.0
0,46,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0,1848,45,1.0,0.0
1,33,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0,0,50,1.0,0.0
1,31,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0,0,65,1.0,0.0
1,44,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,30,1.0,0.0
1,19,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0,0,10,1.0,0.0
1,34,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0,0,28,1.0,0.0
1,26,0.0,0.0,4.0,1.0,1.0,2.0,0.0,0,0,35,0.0,1.0
1,67,1.0,0.0,5.0,0.0,2.0,0.0,0.0,0,0,35,1.0,0.0
1,41,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0,0,40,0.0,1.0
1,36,0.0,3.0,10.0,2.0,1.0,3.0,1.0,0,0,40,0.0,1.0
1,28,2.0,2.0,2.0,1.0,3.0,1.0,0.0,0,0,4,0.0,1.0
1,45,2.0,0.0,1.0,2.0,3.0,1.0,0.0,0,0,50,0.0,1.0
1,42,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0,0,45,1.0,0.0
1,29,1.0,0.0,1.0,1.0,2.0,1.0,4.0,0,0,40,1.0,0.0
0,63,2.0,0.0,4.0,0.0,2.0,0.0,0.0,0,0,40,1.0,0.0
0,53,2.0,5.0,11.0,2.0,2.0,1.0,0.0,14084,0,50,1.0,0.0
1,42,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0,0,50,1.0,0.0
1,58,0.0,3.0,8.0,3.0,1.0,1.0,4.0,0,0,30,0.0,1.0
1,23,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0,0,20,0.0,1.0
0,43,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0,40,1.0,0.0
1,22,0.0,0.0,5.0,1.0,2.0,2.0,0.0,0,0,20,0.0,1.0
0,39,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2415,99,1.0,0.0
1,27,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0,0,68,1.0,0.0
0,41,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0,0,48,1.0,0.0
1,50,0.0,1.0,0.0,2.0,2.0,3.0,0.0,0,0,35,0.0,1.0
1,24,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0,0,35,0.0,1.0
1,38,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0,0,40,0.0,1.0
1,59,0.0,3.0,8.0,2.0,0.0,1.0,0.0,0,0,40,1.0,0.0
1,88,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0,0,40,0.0,1.0
